Total expenses,Institutional grants (funded)_per_dollar,Institutional grants (unfunded)_per_dollar,Sales and services of educational activities - Total_per_dollar,Sales and services of auxiliary enterprises - Total_per_dollar,Instruction-Total amount_per_dollar,Research-Total amount_per_dollar,Public service-Total amount_per_dollar,Academic support-Total amount_per_dollar,Student service-Total amount_per_dollar,Institutional support-Total amount_per_dollar,Auxiliary enterprises-Total amount_per_dollar,Net grant aid to students-Total amount_per_dollar
46392031.5,0.1202388532320829,0.3491130870898234,0.0,0.3278328305153009,0.3087307102154674,0.0,0.0,0.0707724414554541,0.2042560728703304,0.1976694424343111,0.2116860413840683,0.0068852844552266
10922549.0,0.0,0.066926074978774,0.0,0.1785848095836725,0.3096769200425041,0.0,0.0,0.0436229980138641,0.0848008708101622,0.3001836537118457,0.2617125056309353,0.0
43903310.66666666,0.0121334737307434,0.2715629334619959,0.0,0.0732591107859656,0.397522739591119,0.0,0.0,0.070136627965156,0.2096408986074034,0.1973335959204656,0.1011232205328296,0.0
5469523.5,0.0,0.1860065598036099,0.0,0.0,0.4039966644260693,0.0,0.0,0.0560225218887897,0.2987590692315336,0.1694848737737391,0.0,0.0
22214008.33333333,0.1796588939186646,0.2918764998512575,0.0,0.2074505764193089,0.3007583953218709,0.0,0.0,0.0737256408399954,0.2970508999388899,0.1746253133814586,0.1538397505177851,0.0
3119203.1666666665,0.1219534754041617,0.0,0.0,0.0246466258289577,0.1701199435603719,0.009746399441011,0.0143785119479499,0.0484075553697768,0.1121120196349292,0.4773851163590445,0.0344672429427622,0.0721155867852788
9605200.166666666,0.1036531409435663,0.1558882661494422,0.0,0.2093114804253342,0.3597267563450569,0.0,0.0104690513043446,0.0801632088146141,0.1346139741214138,0.1245585529269119,0.1687513331537199,0.0
29059493.83333333,0.0782378734137506,0.3833055580349837,0.0,0.2080067545108594,0.3377959789308787,0.0,0.0,0.0288867499946073,0.0932596767012969,0.2331276210632322,0.3039885937907739,0.0
53985258.66666666,0.1578657589834894,0.0019334166877753,0.0052559224562636,0.1608284165178523,0.2264258731963965,0.0140083858447876,0.002916163360546,0.0746464207611836,0.0901851101624186,0.2238494661653808,0.1088581644658354,0.0
167946225.33333334,0.0303468098586381,0.2636663853491072,0.0,0.1471566307466241,0.5074893377180913,0.0,0.0215481403416517,0.0757969263161528,0.1609462043362467,0.120142865927982,0.1140765243674941,0.0
42366624.16666666,0.0323934077903972,0.7141049020328483,0.0,0.302731114069371,0.2527465596002073,0.0,0.0,0.0735124891647708,0.1891515076067444,0.2172166852488384,0.2297231690771365,0.035430216501594
3005242.5,0.0056900566260459,0.0113138956340461,0.0190942993785027,0.0609609707036952,0.2337154156444945,0.0,0.0,0.119852557655497,0.2190195965882952,0.3172308058334727,0.1101816242782404,0.0
17534699.166666668,0.0,0.117673922644524,0.0,0.196094648330389,0.1634331146922537,0.0,0.0022623332716619,0.0629717010162563,0.1752927041472387,0.3893990767544296,0.1392856706647234,0.0
132233560.0,0.0234040171042812,0.1328135951266834,0.0,0.1184131887548062,0.3022021439438924,0.1747500533651719,0.069336067182945,0.0394111109161698,0.0731259459903118,0.1642847196531147,0.056715386774734,0.001667420887708
4995461.333333333,0.0,0.0166991250190839,0.0,0.0023204063101546,0.2453332304844184,0.043715081636771,0.0148997249770191,0.0283684843521959,0.1605649167938043,0.5050107150597503,0.0021078466960408,0.0
16831287.666666668,0.0307917518610132,0.0941113378471359,0.0,0.0715321087633956,0.2966411482520162,0.0920960632384177,0.0170610733427149,0.0336330278394425,0.205919757020769,0.2074572408928189,0.1266088613580624,0.0
37841474.0,0.4579102811904209,0.3328534894456454,0.0017441181070272,0.1951650544408849,0.8599473424317456,0.0307150649927995,0.0,0.0884559447481705,0.3284210951543096,0.3651912008853918,0.1721411098662101,0.01767461101894
15060997.666666666,0.0037712198481406,0.2660541323590493,0.0,0.0640829061501083,0.3297301376205865,0.0,0.0441734238367077,0.1042221240190972,0.1728244961550024,0.1939703728790167,0.084882590668573,0.0
15928668.666666666,0.0008674087556093,0.4647457353937468,0.0,0.1323572219029981,0.2218765573335423,0.0,0.0,0.0540064386213821,0.2863041221733409,0.3677365189298306,0.0642296407864679,0.0
24177888.166666668,0.4813058149019893,0.0,0.0,0.1749700375333994,0.2885963661742197,0.0,0.0,0.0778536771708259,0.2542297308031362,0.2130512997864598,0.1662689260653582,0.0
37841474.0,0.001626808546975,0.0,0.0,0.0,0.1702871607661653,0.0,0.0,0.0146092705937758,0.0086719930624266,0.0197766256850001,0.0,0.0
10595286.166666666,0.0,0.2841462344016915,0.0,0.1263095033283433,0.2310536775339889,0.0,0.0,0.0968717110472256,0.1139915255081123,0.2904778079220355,0.2068149268329499,0.0
124190254.33333331,0.0474211633187116,0.1897027182994496,0.0104625480233938,0.2124428655181405,0.410536723999462,0.0,0.0125230505540232,0.0955642297675408,0.1414084201770819,0.1087209169979878,0.1755320867730032,0.0
53810698.0,0.0774538395072791,0.5884915610399007,0.0,0.2566609741183187,0.3244643255386379,0.0206091051510488,0.0,0.071664405220439,0.1915400539870343,0.1771772191717961,0.1962335166141126,0.0
50871033.66666666,0.0848053896762113,0.2575197983821848,0.0063299808055142,0.1376322600246488,0.3543622804702723,0.0031565179977569,0.0660724795835188,0.1063317296724086,0.1764297450452828,0.1700592434721577,0.1214316620170112,0.0021563351890739
42636089.0,0.055482981408856,0.439321955632469,0.0,0.2546685000430816,0.3439555396368555,0.0059248594150681,0.035645221430449,0.0396323640285111,0.2058670687798467,0.1431564544612272,0.2206539746176062,0.0
22053334.83333333,0.1162461378006708,0.4147888547982188,0.0,0.1379829863826566,0.2923113540598384,0.0,0.0,0.1118028037619012,0.1822308295036467,0.2461737362789931,0.1674812763956205,0.0
9291923.0,0.0271669276639507,0.3875166816025774,0.0,0.3128790455969125,0.2962122946276388,0.0,0.0,0.0634705539423863,0.2379102976495464,0.2183353937249229,0.0972294791221723,0.0
