original,vhat,vstar,Total expenses,Institutional grants (funded)_per_dollar,Institutional grants (unfunded)_per_dollar,Sales and services of educational activities - Total_per_dollar,Sales and services of auxiliary enterprises - Total_per_dollar,Instruction-Total amount_per_dollar,Research-Total amount_per_dollar,Public service-Total amount_per_dollar,Academic support-Total amount_per_dollar,Student service-Total amount_per_dollar,Institutional support-Total amount_per_dollar,Auxiliary enterprises-Total amount_per_dollar,Net grant aid to students-Total amount_per_dollar
0.1110655883929628,0.1110655883929628,0.1110655883929628,46392031.5,0.1202388532320829,0.3491130870898234,0.0,0.3278328305153009,0.3087307102154674,0.0,0.0,0.0707724414554541,0.2042560728703304,0.1976694424343111,0.2116860413840683,0.0068852844552266
2.544717263849523,4.509435653686523,4.505462537340737,2783863.864652439,0.0,0.06323544096502559,0.0,0.1949667091231272,0.338117657168753,0.0,0.0,0.04758460006962436,0.09257158487190159,0.32775252898883994,0.2857505270754692,0.0
1.0010583064021,1.9876381158828735,2.2563277750274335,19378449.261499222,0.01307594540993141,0.2932197100301281,0.0,0.07906506825124594,0.42924965697991474,0.0,0.0,0.07569512129595272,0.22633891715938076,0.08064863904911637,0.10618018664848379,0.0
2.801798500692677,4.784646034240723,4.629689608672587,1830626.7365808855,0.0,0.20313829075079715,0.0,0.0,0.4412806127569131,0.0,0.0,0.061161557016437315,0.32630810154287704,0.18509589667805545,0.0,0.0
0.8878571919126474,2.8726460933685303,1.7367731768346324,10423644.442727664,0.195701823198157,0.3179708414291442,0.0,0.22597520859249598,0.3276467960802239,0.0,0.0,0.08027617602882149,0.32360784321104163,0.05885959722122344,0.11381903727806401,0.0
4.218222831585885,4.245884418487549,5.922497087602809,2206195.377542197,0.13122842208727029,0.0,0.0,0.02649159138505879,0.18308358023193175,0.010450208279557442,0.015442251118929749,0.052059264125367384,0.12063849254768153,0.5138306927341925,0.037071572110197355,0.07758322547671379
2.18588078386843,3.0982460975646973,3.0306200164349986,4807095.080297911,0.11189389425138169,0.16830682036474867,0.0,0.22598197603368939,0.38843743641725353,0.0,0.011259198597679656,0.08651584282510685,0.14534138494733922,0.06689694158419528,0.18219240274593246,0.0
1.369880177216872,1.5762929916381836,2.032932156607036,16072530.457380703,0.08460347289330512,0.4147131474875243,0.0,0.22501566241874027,0.3654504740053218,0.0,0.0,0.03120611988039999,0.10087482319587436,0.2522180270704305,0.328875364486745,0.0
1.2141330712472398,1.635478138923645,3.7058306978184983,17170328.519699104,0.17241972330664998,0.0020752702625883306,0.005702369059934044,0.17565493586228928,0.24732700393804743,0.015262795964463088,0.003153472601111897,0.08149239323966337,0.09848698612768286,0.24451312220232532,0.10282036863373689,0.0
-0.8895302150930406,2.922410249710083,-0.24761400147755622,10392776.54016746,0.03328263071498563,0.28967692285332813,0.0,0.16166041761273872,0.5575849457955107,0.0,0.023637912304032168,0.08322744350904993,0.1768060073450787,0.05133988236564393,0.09613088759119173,0.0
-0.4136643163796491,1.9499626159667969,-0.023828258030507345,15927588.642847467,0.03520001426351032,0.7766084276375897,0.0,0.3291966291195952,0.2748454483113938,0.0,0.0,0.07989946736525594,0.20566811449638492,0.057539776566422604,0.08081037707040327,0.038497198885004025
4.071283127616505,4.231893539428711,5.433822290332729,1916836.5925243988,0.0061346716577877335,0.012227799986365404,0.02067115256330914,0.06613382506233385,0.25366581289695295,0.0,0.0,0.12657332738733532,0.2377173225951105,0.3443034659622693,0.11955556786145542,0.0
0.4598798272403258,2.686314105987549,1.496225346703634,10444073.180684872,0.0,0.08550976165164788,0.0,0.2128035660303037,0.17736089128961005,0.0,0.0024109308216562994,0.06831225928227048,0.1902291207803784,0.422646812793639,0.05656046504212448,0.0
-1.272095334554283,1.9876381158828735,-0.7404072653139657,15363915.138245134,0.025625589291916037,0.09168191918814052,0.0,0.12982457072946096,0.33141527581636104,0.19162285678880633,0.07599724146713067,0.04317984620345339,0.08015121711871567,0.046553599276695105,0.06216898778580636,0.0017677305171301234
0.6613966478210682,4.242952346801758,4.941128021388383,2762207.38573467,0.0,0.018022189566946484,0.0,0.0024661841452348174,0.2654237407669492,0.04725432139952086,0.016081762170459913,0.0306464730646239,0.1736980629507826,0.5463889775086312,0.0022425923827375936,0.0
-0.3318028786778407,4.745532035827637,1.458335701059603,3271287.5149634415,0.03387084757984593,0.0641276520389313,0.0,0.07860737565821338,0.3261642632442279,0.10123855652700521,0.01870419261585994,0.03694915974433575,0.22638969541676507,0.05436005584237172,0.1391706787496314,0.0
0.6613966478210682,1.761164903640747,1.0751602032483827,19712078.41887536,0.5036440357560498,0.36607297817005446,0.0018524440631500184,0.21461998212752262,0.9459273035106136,0.03372149669174228,0.0,0.09726287641695389,0.34108123499469317,0.4016713932748278,0.07230073762845435,0.019381564359108077
1.9966317460710348,4.901793479919434,3.7653116690296873,2097136.6433276238,0.004093199323816552,0.29256411644134495,0.0,0.07042970415520936,0.36258237191878223,0.0,0.04859069213788741,0.11457533929800785,0.19002377260106879,0.050380010279529694,0.09332083022456293,0.0
2.470057144670794,2.470057144670794,2.470057144670794,15928668.666666666,0.0008674087556093,0.4647457353937468,0.0,0.1323572219029981,0.2218765573335423,0.0,0.0,0.0540064386213821,0.2863041221733409,0.3677365189298306,0.0642296407864679,0.0
0.7812900147639503,0.7812900147639503,0.7812900147639503,24177888.166666668,0.4813058149019893,0.0,0.0,0.1749700375333994,0.2885963661742197,0.0,0.0,0.0778536771708259,0.2542297308031362,0.2130512997864598,0.1662689260653582,0.0
