,unitid,log_yield_per_dollar,Total expenses,Institutional grants (funded)_per_dollar,Institutional grants (unfunded)_per_dollar,Sales and services of educational activities - Total_per_dollar,Sales and services of auxiliary enterprises - Total_per_dollar,Instruction-Total amount_per_dollar,Research-Total amount_per_dollar,Public service-Total amount_per_dollar,Academic support-Total amount_per_dollar,Student service-Total amount_per_dollar,Institutional support-Total amount_per_dollar,Auxiliary enterprises-Total amount_per_dollar,Net grant aid to students-Total amount_per_dollar
0,100937,0.11106558839296285,46392031.5,0.1202388532320829,0.34911308708982347,0.0,0.3278328305153009,0.3087307102154674,0.0,0.0,0.07077244145545412,0.20425607287033046,0.19766944243431117,0.2116860413840683,0.006885284455226612
1,101073,2.544717263849523,10922549.0,0.0,0.06692607497877404,0.0,0.17858480958367257,0.30967692004250413,0.0,0.0,0.0436229980138641,0.08480087081016223,0.3001836537118457,0.2617125056309353,0.0
2,101189,1.0010583064021,43903310.666666664,0.012133473730743404,0.2715629334619959,0.0,0.07325911078596564,0.39752273959111906,0.0,0.0,0.07013662796515603,0.20964089860740343,0.1973335959204656,0.10112322053282968,0.0
3,101365,2.801798500692677,5469523.5,0.0,0.18600655980360994,0.0,0.0,0.4039966644260693,0.0,0.0,0.05602252188878976,0.2987590692315336,0.16948487377373916,0.0,0.0
4,101435,0.8878571919126474,22214008.333333332,0.17965889391866469,0.2918764998512575,0.0,0.20745057641930897,0.3007583953218709,0.0,0.0,0.07372564083999548,0.29705089993888995,0.17462531338145862,0.15383975051778515,0.0
5,101453,4.218222831585885,3119203.1666666665,0.12195347540416172,0.0,0.0,0.024646625828957706,0.1701199435603719,0.009746399441011083,0.014378511947949955,0.04840755536977687,0.11211201963492921,0.4773851163590445,0.03446724294276225,0.07211558678527887
6,101541,2.18588078386843,9605200.166666666,0.10365314094356631,0.1558882661494422,0.0,0.2093114804253342,0.3597267563450569,0.0,0.010469051304344673,0.08016320881461415,0.13461397412141388,0.12455855292691194,0.16875133315371998,0.0
7,101693,1.369880177216872,29059493.833333332,0.07823787341375062,0.3833055580349837,0.0,0.20800675451085943,0.3377959789308787,0.0,0.0,0.02888674999460733,0.09325967670129699,0.23312762106323223,0.3039885937907739,0.0
8,101912,1.2141330712472398,53985258.666666664,0.15786575898348942,0.0019334166877753099,0.005255922456263616,0.16082841651785237,0.22642587319639654,0.014008385844787655,0.00291616336054603,0.07464642076118361,0.09018511016241866,0.22384946616538087,0.10885816446583542,0.0
9,102049,-0.8895302150930406,167946225.33333334,0.030346809858638163,0.26366638534910725,0.0,0.14715663074662413,0.5074893377180913,0.0,0.02154814034165174,0.07579692631615283,0.1609462043362467,0.12014286592798205,0.11407652436749417,0.0
10,102234,-0.4136643163796491,42366624.166666664,0.032393407790397274,0.7141049020328483,0.0,0.302731114069371,0.2527465596002073,0.0,0.0,0.07351248916477081,0.18915150760674446,0.21721668524883847,0.22972316907713655,0.03543021650159406
11,102261,4.071283127616505,3005242.5,0.005690056626045985,0.01131389563404617,0.019094299378502735,0.06096097070369529,0.23371541564449458,0.0,0.0,0.11985255765549702,0.21901959658829528,0.3172308058334727,0.11018162427824044,0.0
12,102270,0.4598798272403258,17534699.166666668,0.0,0.11767392264452402,0.0,0.19609464833038906,0.16343311469225377,0.0,0.002262333271661965,0.06297170101625638,0.17529270414723871,0.38939907675442964,0.13928567066472342,0.0
13,102377,-1.272095334554283,132233560.0,0.023404017104281243,0.13281359512668342,0.0,0.11841318875480626,0.30220214394389244,0.17475005336517196,0.06933606718294509,0.03941111091616984,0.07312594599031189,0.16428471965311478,0.05671538677473404,0.0016674208877080826
14,102395,0.6613966478210682,4995461.333333333,0.0,0.01669912501908399,0.0,0.0023204063101546044,0.2453332304844184,0.04371508163677109,0.01489972497701914,0.028368484352195966,0.1605649167938043,0.5050107150597503,0.002107846696040886,0.0
15,102669,-0.33180287867784075,16831287.666666668,0.030791751861013284,0.09411133784713599,0.0,0.07153210876339566,0.29664114825201626,0.0920960632384177,0.017061073342714932,0.03363302783944258,0.205919757020769,0.20745724089281897,0.12660886135806246,0.0
16,104586,0.6613966478210682,37841474.0,0.4579102811904209,0.3328534894456454,0.0017441181070272263,0.19516505444088497,0.8599473424317456,0.03071506499279952,0.0,0.08845594474817058,0.3284210951543096,0.36519120088539186,0.1721411098662101,0.01767461101894005
17,105589,1.9966317460710348,15060997.666666666,0.003771219848140649,0.26605413235904934,0.0,0.0640829061501083,0.32973013762058656,0.0,0.04417342383670777,0.1042221240190972,0.17282449615500242,0.1939703728790167,0.08488259066857302,0.0
18,105899,2.470057144670794,15928668.666666666,0.0008674087556093305,0.46474573539374686,0.0,0.13235722190299815,0.22187655733354236,0.0,0.0,0.054006438621382165,0.2863041221733409,0.36773651892983067,0.06422964078646791,0.0
19,106342,0.7812900147639503,24177888.166666668,0.48130581490198937,0.0,0.0,0.1749700375333994,0.2885963661742197,0.0,0.0,0.07785367717082596,0.2542297308031362,0.21305129978645984,0.16626892606535823,0.0
20,106546,0.6613966478210682,37841474.0,0.0016268085469750288,0.0,0.0,0.0,0.17028716076616537,0.0,0.0,0.01460927059377585,0.008671993062426692,0.019776625685000184,0.0,0.0
21,106713,2.8137437280128257,10595286.166666666,0.0,0.28414623440169157,0.0,0.12630950332834331,0.23105367753398892,0.0,0.0,0.09687171104722561,0.11399152550811235,0.29047780792203554,0.20681492683294997,0.0
