,unitid,grtotlt,f2b02,f2c05,f2c06,f2d11,f2d12,f2e011,f2e021,f2e031,f2e041,f2e051,f2e061,f2e071,f2e081,expense_ps
0,100690,-20.505650507882226,-0.1455501998795785,-0.5538614096154738,-0.71037824490865,-0.3042018100845905,-1.1826329679190704,-0.22267898820854146,-0.2520676012625201,-0.3150502446325495,-0.43535948853908635,-0.5237517042225837,2.529449080104629,-1.1716910776776814,-0.19669087858344017,-0.13094839505155811
1,100937,-19.03401105419688,-0.1455501998795785,1.2819444649694123,0.5224522306762788,-0.3042018100845905,1.9060516126517082,-0.3713128581064982,-0.2520676012625201,-0.3150502446325495,-0.2968524769806334,0.5143893487711331,-0.324773454536446,1.223288125295381,-0.028997522351309427,-0.1484706711844207
2,101073,-18.711707647609444,-0.1455501998795785,-0.5538614096154738,-0.8734811118228472,-0.3042018100845905,0.49990793812210693,-0.3629912426679751,-0.2520676012625201,-0.3150502446325495,-0.7489564467829769,-0.9276731485850941,0.6647138493329674,1.7892788759662897,-0.19669087858344017,-0.14172212253663952
3,101189,-20.406578489708583,-0.1455501998795785,-0.35808096716755056,0.11773307186343394,-0.3042018100845905,-0.4701918205949809,0.38568717593663865,-0.2520676012625201,-0.3150502446325495,-0.2857599530959489,0.5863757886026695,-0.3103180877776755,-0.03785660379496581,-0.19669087858344017,-0.16121303842802895
4,101365,-19.40800899814603,-0.1455501998795785,-0.5538614096154738,-0.28440928330604237,-0.3042018100845905,-1.1826329679190704,0.4665210056648105,-0.2520676012625201,-0.3150502446325495,-0.5424743515027018,1.6552289655476446,-0.596816447474961,-1.1716910776776814,-0.19669087858344017,-0.14082460916731188
5,101435,-18.584419776769874,-0.1455501998795785,2.189169183338511,0.2393121246187695,-0.3042018100845905,0.7718674267170733,-0.44142684002009325,-0.2520676012625201,-0.3150502446325495,-0.2476745566950309,1.6346079558839868,-0.5471999146571298,0.5688252108393431,-0.19669087858344017,-0.14603060859708453
6,101453,-17.912952386542134,-0.1455501998795785,1.3081233029372041,-1.2045535408710761,-0.3042018100845905,-0.9504242137154666,-1.5903506051090657,0.23608919456646935,0.3587741940227843,-0.6692819820371728,-0.5979731204517559,2.37509717405858,-0.7817346616003183,1.5597078386101388,0.1271265001160713
7,101541,-18.081279852425233,-0.1455501998795785,1.0287139389375064,-0.43339959301770015,-0.3042018100845905,0.7893999767679575,0.07718119960650362,-0.2520676012625201,0.17556398888065639,-0.14047346274041098,-0.32632965811152287,-1.0304541210571132,0.7375322737282142,-0.19669087858344017,-0.10635701203076349
8,101675,-18.93721378191786,-0.1455501998795785,-0.08319713727052189,-0.659230067412087,-0.3042018100845905,0.6189326931783341,-1.094318168875363,-0.2520676012625201,0.006240456892319171,-0.28092386579077605,0.7258824715624934,0.236068047406972,0.319318269088577,-0.19669087858344017,-0.15511108003500895
9,101693,-19.413311531637287,-0.1455501998795785,0.6406738322564763,0.6915968340997641,-0.3042018100845905,0.7771074714457327,-0.11569303472709465,-0.2520676012625201,-0.3150502446325495,-0.9943506569380166,-0.8255584935709298,0.017475850554193186,2.2675832141449592,-0.19669087858344017,-0.1534014817893251
10,102049,-20.82567820801087,-0.1455501998795785,-0.09052655307067313,0.09976126742420573,-0.3042018100845905,0.20380662570372868,1.3767062555242704,-0.2520676012625201,0.6947666002774695,-0.21318263834763113,-0.008447129685222043,-1.0730751993335048,0.11895095814698413,-0.19669087858344017,-0.16425239037773826
